| Name              | Version   | License                              |
|-------------------|-----------|--------------------------------------|
| annotated-doc     | 0.0.4     | MIT                                  |
| annotated-types   | 0.8.0     | MIT License                          |
| anyio             | 4.14.2    | MIT                                  |
| certifi           | 2026.6.17 | Mozilla Public License 2.0 (MPL 2.0) |
| click             | 8.4.2     | BSD-3-Clause                         |
| fastapi           | 0.141.1   | MIT                                  |
| h11               | 0.16.0    | MIT License                          |
| httpcore          | 1.0.9     | BSD License                          |
| httpx             | 0.28.1    | BSD License                          |
| idna              | 3.18      | BSD-3-Clause                         |
| pydantic          | 2.13.4    | MIT                                  |
| pydantic_core     | 2.46.4    | MIT                                  |
| python-dotenv     | 1.2.2     | BSD-3-Clause                         |
| starlette         | 1.3.1     | BSD-3-Clause                         |
| typing-inspection | 0.4.2     | MIT                                  |
| typing_extensions | 4.15.0    | PSF-2.0                              |
| uvicorn           | 0.52.0    | BSD-3-Clause                         |
